image_name,new_x,new_y,new_w,new_h
ISIC_0024761,105,86,455,272
ISIC_0024762,250,168,117,100
ISIC_0024763,0,0,640,450
ISIC_0024764,167,0,342,323
ISIC_0024765,142,56,362,381
ISIC_0024766,150,114,230,295
ISIC_0024767,100,98,390,290
ISIC_0024768,0,0,640,450
ISIC_0024769,30,0,495,450
ISIC_0024770,172,72,342,267
ISIC_0024771,0,0,640,450
ISIC_0024772,87,58,395,316
ISIC_0024773,0,0,605,450
ISIC_0024774,77,0,502,450
ISIC_0024775,77,0,310,260
ISIC_0024776,0,0,492,388
ISIC_0024777,0,0,640,450
ISIC_0024778,82,45,380,319
ISIC_0024779,55,0,465,450
ISIC_0024780,72,0,437,441
ISIC_0024781,217,137,170,163
ISIC_0024782,195,94,227,228
ISIC_0024783,42,22,402,427
ISIC_0024784,252,156,140,137
ISIC_0024785,225,89,222,279
ISIC_0024786,22,0,565,450
ISIC_0024787,0,0,640,450
ISIC_0024788,12,0,527,450
ISIC_0024789,262,168,152,124
ISIC_0024790,0,72,587,323
ISIC_0024791,202,93,355,351
ISIC_0024792,0,0,640,450
ISIC_0024793,172,93,335,356
ISIC_0024794,75,0,535,450
ISIC_0024795,20,28,592,402
ISIC_0024796,122,107,350,265
ISIC_0024797,0,0,640,450
ISIC_0024798,290,158,115,105
ISIC_0024799,125,73,407,284
ISIC_0024800,0,33,640,372
ISIC_0024801,85,0,402,450
ISIC_0024802,2,0,610,450
ISIC_0024803,90,93,327,284
ISIC_0024804,75,21,370,421
ISIC_0024805,22,0,590,434
ISIC_0024806,0,0,640,450
ISIC_0024807,0,0,640,450
ISIC_0024808,187,112,317,249
ISIC_0024809,0,0,640,450
ISIC_0024810,0,0,640,450
ISIC_0024811,0,1,640,448
ISIC_0024812,0,0,640,450
ISIC_0024813,190,63,267,304
ISIC_0024814,72,0,437,450
ISIC_0024815,87,1,430,341
ISIC_0024816,70,0,507,450
ISIC_0024817,60,0,580,450
ISIC_0024818,237,179,150,114
ISIC_0024819,157,10,325,376
ISIC_0024820,20,0,552,450
ISIC_0024821,272,181,82,94
ISIC_0024822,35,0,360,444
ISIC_0024823,62,0,577,450
ISIC_0024824,157,36,402,377
ISIC_0024825,0,0,640,450
ISIC_0024826,97,86,342,333
ISIC_0024827,232,184,245,198
ISIC_0024828,0,0,640,450
ISIC_0024829,185,59,320,316
ISIC_0024830,52,26,582,404
ISIC_0024831,272,198,97,80
ISIC_0024832,177,105,285,225
ISIC_0024833,57,59,380,272
ISIC_0024834,57,0,530,402
ISIC_0024835,0,15,605,383
ISIC_0024836,202,110,237,203
ISIC_0024837,157,114,285,233
ISIC_0024838,112,50,507,399
ISIC_0024839,140,58,397,344
ISIC_0024840,0,0,640,395
ISIC_0024841,172,54,307,298
ISIC_0024842,207,116,227,203
ISIC_0024843,0,0,640,450
ISIC_0024844,0,0,640,450
ISIC_0024845,90,80,475,302
ISIC_0024846,32,0,570,450
ISIC_0024847,287,89,265,242
ISIC_0024848,0,0,627,450
ISIC_0024849,32,0,607,416
ISIC_0024850,0,0,517,400
ISIC_0024851,0,0,640,450
ISIC_0024852,0,0,422,339
ISIC_0024853,0,43,640,393
ISIC_0024854,172,107,255,253
ISIC_0024855,105,0,525,450
ISIC_0024856,217,0,230,384
ISIC_0024857,212,94,195,307
ISIC_0024858,37,0,535,450
ISIC_0024859,17,35,552,402
ISIC_0024860,0,26,640,423
ISIC_0024861,0,0,640,450
ISIC_0024862,10,0,587,450
ISIC_0024863,185,0,372,450
ISIC_0024864,12,0,627,450
ISIC_0024865,190,82,255,316
ISIC_0024866,165,65,212,272
ISIC_0024867,132,94,257,258
ISIC_0024868,130,101,317,172
ISIC_0024869,222,112,222,258
ISIC_0024870,150,0,395,450
ISIC_0024871,70,59,430,321
ISIC_0024872,5,17,635,432
ISIC_0024873,0,5,640,377
ISIC_0024874,107,0,250,450
ISIC_0024875,52,47,465,323
ISIC_0024876,267,174,155,174
ISIC_0024877,100,0,540,450
ISIC_0024878,32,0,555,450
ISIC_0024879,0,0,635,450
ISIC_0024880,62,35,455,370
ISIC_0024881,190,68,295,298
ISIC_0024882,152,65,292,319
ISIC_0024883,247,182,140,108
ISIC_0024884,185,21,345,369
ISIC_0024885,15,0,562,450
ISIC_0024886,100,77,460,270
ISIC_0024887,167,72,335,351
ISIC_0024888,202,124,285,319
ISIC_0024889,0,119,560,330
ISIC_0024890,0,0,640,450
ISIC_0024891,120,42,405,388
ISIC_0024892,170,42,402,348
ISIC_0024893,72,0,472,450
ISIC_0024894,52,0,565,450
ISIC_0024895,10,31,565,298
ISIC_0024896,242,108,150,126
ISIC_0024897,145,14,310,435
ISIC_0024898,60,0,555,450
ISIC_0024899,0,0,640,450
ISIC_0024900,92,15,495,434
ISIC_0024901,50,52,542,384
ISIC_0024902,42,105,500,316
ISIC_0024903,112,0,455,450
ISIC_0024904,187,87,265,295
ISIC_0024905,32,65,560,384
ISIC_0024906,220,144,220,200
ISIC_0024907,217,105,222,233
ISIC_0024908,182,138,312,225
ISIC_0024909,112,59,387,358
ISIC_0024910,0,0,640,450
ISIC_0024911,240,145,142,138
ISIC_0024912,97,68,527,381
ISIC_0024913,95,47,395,348
ISIC_0024914,97,3,300,351
ISIC_0024915,175,165,220,123
ISIC_0024916,115,49,390,372
ISIC_0024917,0,0,640,450
ISIC_0024918,122,70,397,274
ISIC_0024919,40,29,535,420
ISIC_0024920,47,0,492,450
ISIC_0024921,0,0,635,450
ISIC_0024922,0,0,640,450
ISIC_0024923,0,0,640,450
ISIC_0024924,135,29,402,363
ISIC_0024925,60,31,472,400
ISIC_0024926,22,31,600,404
ISIC_0024927,37,0,562,450
ISIC_0024928,110,43,500,351
ISIC_0024929,0,0,640,450
ISIC_0024930,32,0,600,450
ISIC_0024931,157,89,300,291
ISIC_0024932,180,89,280,291
ISIC_0024933,257,158,227,191
ISIC_0024934,0,79,640,311
ISIC_0024935,305,198,52,73
ISIC_0024936,0,0,640,450
ISIC_0024937,52,66,512,297
ISIC_0024938,25,0,607,450
ISIC_0024939,120,35,412,390
ISIC_0024940,0,0,640,450
ISIC_0024941,155,72,370,319
ISIC_0024942,135,54,332,212
ISIC_0024943,190,91,285,240
ISIC_0024944,0,0,640,450
ISIC_0024945,0,0,640,450
ISIC_0024946,82,87,447,333
ISIC_0024947,272,145,92,135
ISIC_0024948,0,0,640,450
ISIC_0024949,20,0,572,450
ISIC_0024950,0,0,640,450
ISIC_0024951,122,0,387,409
ISIC_0024952,57,0,495,434
ISIC_0024953,0,3,640,446
ISIC_0024954,0,0,640,450
ISIC_0024955,62,33,472,360
ISIC_0024956,95,0,395,356
ISIC_0024957,5,123,465,326
ISIC_0024958,32,33,607,416
ISIC_0024959,112,61,430,363
ISIC_0024960,170,72,407,360
ISIC_0024961,0,0,640,450
ISIC_0024962,42,0,597,450
ISIC_0024963,202,65,345,286
ISIC_0024964,30,0,587,450
ISIC_0024965,0,14,640,435
ISIC_0024966,175,101,317,309
ISIC_0024967,85,43,495,346
ISIC_0024968,152,156,250,246
ISIC_0024969,252,147,142,147
ISIC_0024970,115,0,447,432
ISIC_0024971,105,0,502,416
ISIC_0024972,0,0,640,450
ISIC_0024973,0,0,640,450
ISIC_0024974,137,68,380,381
ISIC_0024975,0,0,640,450
ISIC_0024976,0,96,562,353
ISIC_0024977,110,0,355,414
ISIC_0024978,192,163,307,260
ISIC_0024979,0,0,640,450
ISIC_0024980,40,0,552,397
ISIC_0024981,172,121,280,198
ISIC_0024982,0,0,640,450
ISIC_0024983,20,21,582,427
ISIC_0024984,175,75,265,279
ISIC_0024985,50,0,370,416
ISIC_0024986,200,82,212,265
ISIC_0024987,55,0,575,450
ISIC_0024988,152,246,275,191
ISIC_0024989,170,66,282,297
ISIC_0024990,82,19,557,430
ISIC_0024991,50,0,420,444
ISIC_0024992,0,0,640,450
ISIC_0024993,155,128,212,151
ISIC_0024994,10,47,535,344
ISIC_0024995,22,100,512,237
ISIC_0024996,92,72,425,291
ISIC_0024997,17,0,552,450
ISIC_0024998,137,98,380,295
ISIC_0024999,0,0,640,450
ISIC_0025000,302,166,125,149
ISIC_0025001,260,198,125,82
ISIC_0025002,0,0,640,427
ISIC_0025003,150,170,402,279
ISIC_0025004,150,163,377,246
ISIC_0025005,77,0,520,450
ISIC_0025006,102,21,420,428
ISIC_0025007,137,116,265,265
ISIC_0025008,52,0,512,450
ISIC_0025009,72,56,432,332
ISIC_0025010,0,0,635,450
ISIC_0025011,155,0,332,393
ISIC_0025012,130,63,302,386
ISIC_0025013,10,0,630,450
ISIC_0025014,12,0,627,450
ISIC_0025015,165,91,230,295
ISIC_0025016,175,116,275,196
ISIC_0025017,140,108,407,272
ISIC_0025018,222,105,192,196
ISIC_0025019,0,0,622,432
ISIC_0025020,70,17,520,428
ISIC_0025021,0,0,640,450
ISIC_0025022,0,0,640,450
ISIC_0025023,0,0,640,450
ISIC_0025024,95,31,447,418
ISIC_0025025,0,0,640,450
ISIC_0025026,145,0,327,377
ISIC_0025027,237,175,142,135
ISIC_0025028,60,0,552,450
ISIC_0025029,50,0,565,450
ISIC_0025030,167,80,370,311
ISIC_0025031,167,70,280,298
ISIC_0025032,5,0,635,450
ISIC_0025033,177,110,262,205
ISIC_0025034,0,0,640,450
ISIC_0025035,125,56,360,333
ISIC_0025036,20,0,542,450
ISIC_0025037,0,0,640,390
ISIC_0025038,132,87,360,286
ISIC_0025039,112,0,377,427
ISIC_0025040,235,158,125,114
ISIC_0025041,0,0,640,450
ISIC_0025042,52,5,565,348
ISIC_0025043,197,107,215,230
ISIC_0025044,130,94,247,307
ISIC_0025045,127,40,447,332
ISIC_0025046,80,0,442,450
ISIC_0025047,0,0,615,450
ISIC_0025048,100,35,475,414
ISIC_0025049,35,21,565,416
ISIC_0025050,0,0,640,450
ISIC_0025051,97,65,440,369
ISIC_0025052,147,80,227,283
ISIC_0025053,92,0,547,450
ISIC_0025054,92,7,395,409
ISIC_0025055,65,0,457,420
ISIC_0025056,177,0,395,420
ISIC_0025057,90,50,442,298
ISIC_0025058,0,45,610,404
ISIC_0025059,160,29,325,290
ISIC_0025060,35,0,605,450
ISIC_0025061,232,152,180,159
ISIC_0025062,185,98,265,247
ISIC_0025063,175,68,285,297
ISIC_0025064,217,147,187,151
ISIC_0025065,197,147,202,156
ISIC_0025066,0,54,640,395
ISIC_0025067,67,0,572,444
ISIC_0025068,0,0,640,450
ISIC_0025069,90,19,447,430
ISIC_0025070,0,0,640,450
ISIC_0025071,35,19,572,430
ISIC_0025072,30,21,572,428
ISIC_0025073,280,188,87,70
ISIC_0025074,145,140,380,225
ISIC_0025075,0,54,552,344
ISIC_0025076,197,94,197,235
ISIC_0025077,57,7,535,442
ISIC_0025078,0,0,640,450
ISIC_0025079,0,15,507,346
ISIC_0025080,70,77,507,356
ISIC_0025081,195,100,285,272
ISIC_0025082,0,0,635,356
ISIC_0025083,147,137,492,312
ISIC_0025084,122,40,335,397
ISIC_0025085,170,152,290,254
ISIC_0025086,0,0,640,450
ISIC_0025087,120,0,317,450
ISIC_0025088,227,154,257,225
ISIC_0025089,17,1,610,448
ISIC_0025090,0,0,640,450
ISIC_0025091,77,7,430,442
ISIC_0025092,0,0,640,450
ISIC_0025093,125,38,430,270
ISIC_0025094,202,130,232,161
ISIC_0025095,107,0,532,450
ISIC_0025096,85,8,477,409
ISIC_0025097,0,0,640,450
ISIC_0025098,0,0,640,450
ISIC_0025099,107,79,380,295
ISIC_0025100,135,68,390,339
ISIC_0025101,0,0,640,450
ISIC_0025102,0,0,565,441
ISIC_0025103,0,0,640,450
ISIC_0025104,120,0,397,370
ISIC_0025105,0,0,640,450
ISIC_0025106,130,77,412,277
ISIC_0025107,97,19,332,314
ISIC_0025108,147,137,362,196
ISIC_0025109,0,0,640,450
ISIC_0025110,0,24,640,425
ISIC_0025111,17,0,622,450
ISIC_0025112,207,133,205,166
ISIC_0025113,0,0,640,450
ISIC_0025114,70,0,360,370
ISIC_0025115,312,181,115,107
ISIC_0025116,0,107,507,342
ISIC_0025117,252,175,150,124
ISIC_0025118,85,63,442,307
ISIC_0025119,65,0,575,450
ISIC_0025120,0,0,640,450
ISIC_0025121,0,0,640,450
ISIC_0025122,105,0,395,450
ISIC_0025123,0,33,607,397
ISIC_0025124,50,0,472,323
ISIC_0025125,0,0,640,450
ISIC_0025126,137,0,342,450
ISIC_0025127,105,98,422,326
ISIC_0025128,220,112,180,217
ISIC_0025129,217,147,192,184
ISIC_0025130,0,0,640,450
ISIC_0025131,0,0,640,450
ISIC_0025132,47,35,535,414
ISIC_0025133,35,0,605,450
ISIC_0025134,172,130,115,131
ISIC_0025135,0,0,640,450
ISIC_0025136,0,0,640,450
ISIC_0025137,42,42,542,407
ISIC_0025138,127,0,300,358
ISIC_0025139,122,0,405,450
ISIC_0025140,152,26,395,416
ISIC_0025141,212,107,202,205
ISIC_0025142,17,0,477,450
ISIC_0025143,75,24,565,425
ISIC_0025144,72,19,467,427
ISIC_0025145,0,0,640,450
ISIC_0025146,192,124,210,212
ISIC_0025147,122,63,280,335
ISIC_0025148,62,89,525,290
ISIC_0025149,70,29,527,395
ISIC_0025150,0,0,640,450
ISIC_0025151,0,0,640,450
ISIC_0025152,190,89,265,225
ISIC_0025153,72,22,492,388
ISIC_0025154,180,58,312,363
ISIC_0025155,212,138,237,163
ISIC_0025156,237,82,170,254
ISIC_0025157,157,68,280,279
ISIC_0025158,217,131,215,166
ISIC_0025159,0,0,640,450
ISIC_0025160,0,0,640,450
ISIC_0025161,0,49,465,365
ISIC_0025162,0,0,640,450
ISIC_0025163,62,0,475,413
ISIC_0025164,0,0,632,425
ISIC_0025165,122,79,387,309
ISIC_0025166,0,0,640,450
ISIC_0025167,40,63,510,346
ISIC_0025168,87,91,520,307
ISIC_0025169,90,36,425,384
ISIC_0025170,22,0,617,450
ISIC_0025171,120,82,352,260
ISIC_0025172,197,151,222,159
ISIC_0025173,22,61,580,311
ISIC_0025174,227,0,255,316
ISIC_0025175,132,89,425,360
ISIC_0025176,237,56,265,311
ISIC_0025177,187,128,265,219
ISIC_0025178,42,1,552,439
ISIC_0025179,75,42,510,376
ISIC_0025180,82,0,425,450
ISIC_0025181,122,87,370,272
ISIC_0025182,70,36,495,393
ISIC_0025183,0,137,640,312
ISIC_0025184,57,103,537,286
ISIC_0025185,80,63,387,335
ISIC_0025186,55,15,520,376
ISIC_0025187,0,0,640,450
ISIC_0025188,2,0,637,450
ISIC_0025189,0,0,640,450
ISIC_0025190,0,26,617,358
